user,rating
petru,3.0
DirrtyHarry,3.0
johanT92,3.75
magsywagsy,3.5
denzilofpeckham,3.0
frankamato,3.0
GetraenkefeinkostBerlin,3.75
AaronTschanz,3.5
Letiteuf55,3.0
warcab,3.75
Zoef_Hoobergs,3.0
Navjam,4.5
Natertots92,3.5
kraan,3.75
CoggerD,3.5
Mops1909,3.0
dahlemam,3.75
theflush,3.0
BobGraf,4.5
epatel99,3.5
roland45s,3.75
browers,3.75
Bierkoning85,2.75
Bartvhv,3.5
Wurstreier,3.0
stClem,3.0
Kltangen,3.75
Tommec,3.5
Jburrow,3.75
Jackwo1995,3.0
drstormdancer,4.5
lindsayalewis12,4.5
Mgendron,3.25
ericrudenos,4.0
akicif,3.5
Kinga8,3.75
IPA_King1988,3.75
LindaOuwens,3.75
tstazak,2.75
NielsBalstra,3.5
Melopepo,3.0
HugoMRodriguesS,3.0
hansii83,3.0
Surgubben,3.75
I_Like_Shitty_Beer,3.5
arsenalofcourse,3.75
Jasong1977,3.0
knub,3.0
erik9313,4.5
brittanyrislund,3.25
HRHDi,4.0
Det87,3.5
JessyJess6,3.5
Edgerton,3.75
Edgerton,3.75
Martbeers,3.75
Smpaulson,2.75
ChasingBeers,2.75
Kimpalajnen,3.5
Timvanh,3.0
Schnitzel0815,3.0
TT0,3.75
RamonV,3.75
Lampshade,3.5
3Angeli,3.75
Skelly_24,3.0
chrisbrien,4.5
El_Baroni,3.5
pgatkinsoniv,4.0
Floydo,3.25
timothykrell,4.0
YunghoneyAK47,3.5
franchize,3.5
ChicagoBeersFan,3.75
DIPAcrite,3.75
dben1259,2.75
Shazer,2.75
Brazic,3.5
Sebartus,3.0
rodrigo_br,3.0
Eleonore_ptl,3.0
simpso32,3.75
harrisonbrown111,3.5
knathan5,3.5
Denny2,3.75
ChrisAlbers,3.0
tboyle99,4.5
ShawnLevin,4.5
Iamtomhenry,3.5
Indiesteve,4.0
Jeroenvgerven,3.25
OatmealStoutJenkins,3.25
ssabine,3.5
Modtick16,4.0
beaujolaisvalentine,3.75
Engywook,3.75
wilco66,3.75
NotJeffyDevweez,2.75
btrsb,3.5
mekon3,3.0
feddedurk,3.0
Sabeltann,3.0
54V4G3,3.0
groess,3.75
Jeffeckert4,3.5
pstout56,3.75
euphoricfield,3.0
SylviaAnn,3.0
enjoycake,4.5
ksrudnicki,3.5
Meyns82,4.0
Nezuli,3.25
gditz,3.5
DTM86,3.5
DonnieSmith333,4.0
Eigenhoutjes,3.75
445940221,3.75
mrshl,3.75
florenj123,2.75
StephRodKarr,3.5
Poodler78,3.0
Huddy_Duddy,3.0
KaiTwiggy,3.0
Wokitty,3.75
dragon0704,3.5
Mrjoefaulkner,3.0
sterendinges,3.0
beau_cephus,3.75
ELDiablo49,4.5
westiam,3.5
Pgatkinson,4.0
Vincent_Beekman,3.25
BengtMarius,3.5
pbaranyai,3.5
markskj,3.5
dragon0704,3.5
hoelledm,3.5
sweet2,4.0
Bucksfan316,4.0
scottwilson524,2.5
PetraPetir,3.75
arjenvandermeer7,3.25
dridicule,3.75
cjenk123,3.75
SgtOddball,3.5
kerryp,2.75
Mitchman10,2.75
LinneaSaoirse,3.0
TOADERS,3.5
Menninkainen,3.0
becpeeters,3.75
tedmutsaers,3.75
jkeen77,3.0
hoelledm,3.5
valanelli,3.75
jessaa13,4.5
Jchamaleon7,4.5
Tom_N,3.5
dragon0704,4.0
kevinfrankena,3.25
Bre41087,3.25
Thijs078,3.5
Wyncoop1,3.5
emilyyy7,3.5
hoelledm,3.5
jesseaz81,3.5
camccormick24,3.5
mikki1993,4.0
damonp61,2.5
SiBell,3.75
dlmcn,3.75
Sheikster420,3.25
Lopez1686,3.75
Starscream87,3.5
CB1279,2.75
Rsedwards,2.75
c_brown168,3.0
Peterschild,3.5
Janbr77,3.0
Diversue69m,3.75
awmach,3.5
Oatmealr,3.75
TylergHoward,4.5
weizman,3.5
smess2,4.0
Leachim66c,3.25
Kaosper,3.5
doggie2019,3.5
Honorsdaddy,3.5
Jpeeteey,3.5
Hamms1865,3.5
PinballLouie,4.0
jurrewillems,2.5
zonab,3.25
Mdefusco,3.75
ggarenfeld,3.5
phily23,2.75
whbear,3.0
runtiferus,3.5
rhmdommerholt,3.75
jesseaz81,3.5
Thestagdaddy,3.75
jburnasty,4.5
Jschill112,3.5
Chandlr77,4.0
Evilabdy,3.25
spLint3r990,3.25
Anton-D,3.5
Egon_Spengler,3.5
sfrankiewicz,3.5
Ruso518,3.5
madhatta78,3.5
Ashley4liberty,3.5
Doug05,3.5
Trembler,3.5
danielle111777,4.0
ScottMo,2.5
diehardhawk82,3.25
dchris19,3.75
P0tt3r51,3.5
reliable68,2.75
treymhill14,2.75
Rainman12,3.0
jgg19,3.5
TyEllis,3.75
Linda07,3.5
runtoad,3.75
Bakerspecial,4.5
gekkeclown,3.5
robbswanson,4.0
PBMax,3.25
TripleRB,3.25
kaptenbars,3.5
KCarpo05,3.5
scottscher,3.5
Hansi1989,3.5
NLaPi86,3.5
jax462,3.5
ramccauley,4.0
Hansi1989,2.5
johnnyedvinsen,3.25
westiam,3.75
georgthulinrossebo,3.5
daaronmiller,3.0
WillHindmarsh,3.5
Nico_Lmr,3.75
Skedadl,3.5
Brings1,3.75
cmdunkers,3.5
nihar247,4.0
steppeleif,3.25
illpigbaby,3.5
VaderFromTheSouth,3.5
dezerter,3.5
Jksoccer15,3.5
CrabbyCrabdaddy,3.5
Jazlakey,4.0
Markymarc214,2.5
Alejandro313,3.25
Swede93,3.75
Wasschebalie,3.5
mathiash98,3.0
goszka1010,3.5
TonnyBrink,3.75
mahvin,3.5
Gerard1973,3.75
mortenso,3.75
JordyStabel,3.5
JoneHope,4.0
yo07pric4,3.5
rabbit0d,3.5
Detroit_Duck,3.5
bobwunderdog,3.5
mattalex12,3.5
Sroch5,4.0
maximus32,4.0
dieselman,2.5
bbme999,3.25
Froeba,3.75
sirvexo,3.5
BonnevilleT120R,3.0
bfreeman6860,3.0
Poell,3.75
gdann,3.5
erikakay82,3.5
Bobcrombag,4.0
audreyaverett3,3.5
Raptor0072,3.5
CubsBud,3.5
PanteraKid82,3.5
JimK24,3.5
kristofferbrown,4.0
leonardclark517,2.5
mpaulin444,3.25
Odeussea,3.5
Sean_23,3.5
grabill_brewer,3.5
Williamsitze,4.0
Spagnon,3.5
djthedreamer,3.5
DLS1,3.5
oconography,3.5
wrath004,3.5
julesb129,2.5
DaveDevil667,3.25
nimpie,3.5
Draven13,3.5
KezeMeduza,4.0
DougS869,3.5
0375bball,3.5
LBaior,3.5
rpai0718,3.5
ffwalters1,3.5
Jrc8505,3.5
DannySmith82,2.5
Ostracod,3.25
GillisHaest,3.25
heksabomb,3.5
mattijah,3.5
distrexx,3.5
Hautb,4.0
mjpitt529,3.5
shelleytubbs,3.5
Keithander5,3.5
Tigerpaw33,3.5
HoffmanCR,3.5
SongAboutMyself,3.5
NicArmour,3.25
RaoulDuke79,2.5
Stianframoss,3.5
marperli,3.5
Oneguy73,3.5
behemoth449,4.0
BrianG11,3.5
mdp310,3.5
Eruschell,3.5
SohnFT,3.5
gald24,3.5
SHvozdovich,3.5
bdodd,3.25
10Meds,2.5
tomrushton,2.5
STiVi84,3.5
johnclustrea,3.5
SharrowR,3.5
diamondlie,3.5
Flybynight,3.5
eoinofscotland,3.25
Jer1625,2.5
george266,2.5
Tyri,3.5
IWillBuyUADrank,3.5
victorblade,3.5
wdparker77,3.5
AntonCuijvers,3.25
Wolfsburg,3.5
Greg1954,3.5
cvulcz,3.5
tcstevers,3.5
bebell123,3.5
user,serving,rating
Kaanaitabashi,Bottle,4.5
ChristianArafol,Bottle,4.5
Sad_Albert,Bottle,3.5
henkkie55,,3.75
pbhise,Bottle,4.5
martindenyer71,Bottle,3.5
